"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","Ātiawa Toa","All","All","All","All","All","All","All","All","All","All",FALSE,"0.146","0.107","0.193"," 12,000","  7,000"," 17,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Northland","All","All","All","All","All","All","All","All","All",FALSE,"0.127","0.088","0.175","  4,000","  2,000","  7,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Waitematā","All","All","All","All","All","All","All","All","All",FALSE,"0.097","0.065","0.139"," 11,000","  6,000"," 17,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Auckland","All","All","All","All","All","All","All","All","All",FALSE,"0.089","0.046","0.151","  5,000","  2,000","  8,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Counties Manukau","All","All","All","All","All","All","All","All","All",FALSE,"0.111","0.073","0.159"," 10,000","  5,000"," 15,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Waikato","All","All","All","All","All","All","All","All","All",FALSE,"0.130","0.091","0.179"," 10,000","  5,000"," 14,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Lakes","All","All","All","All","All","All","All","All","All",FALSE,"0.180","0.112","0.266","  4,000","  2,000","  7,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Bay of Plenty","All","All","All","All","All","All","All","All","All",FALSE,"0.109","0.077","0.147","  6,000","  3,000","  8,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Tairāwhiti","All","All","All","All","All","All","All","All","All",FALSE,"0.127","0.063","0.220","  2,000","      0","  3,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Taranaki","All","All","All","All","All","All","All","All","All",FALSE,"0.136","0.069","0.232","  3,000","  1,000","  6,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Hawke's Bay","All","All","All","All","All","All","All","All","All",FALSE,"0.142","0.092","0.205","  4,000","  2,000","  6,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Whanganui","All","All","All","All","All","All","All","All","All",FALSE,"0.102","0.052","0.174","  1,000","      0","  2,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","MidCentral","All","All","All","All","All","All","All","All","All",FALSE,"0.145","0.095","0.210","  4,000","  2,000","  7,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Hutt Valley","All","All","All","All","All","All","All","All","All",FALSE,"0.108","0.063","0.169","  3,000","  1,000","  4,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Capital and Coast","All","All","All","All","All","All","All","All","All",FALSE,"0.159","0.112","0.215","  9,000","  5,000"," 14,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Wairarapa","All","All","All","All","All","All","All","All","All",FALSE,"0.141","0.087","0.210","  1,000","      0","  2,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Nelson Marlborough","All","All","All","All","All","All","All","All","All",FALSE,"0.121","0.057","0.219","  3,000","  1,000","  5,000",NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","West Coast","All","All","All","All","All","All","All","All","All",FALSE,"0.131","0.051","0.261","  1,000","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Canterbury","All","All","All","All","All","All","All","All","All",FALSE,"0.147","0.105","0.197"," 15,000","  9,000"," 20,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","South Canterbury","All","All","All","All","All","All","All","All","All",FALSE,"0.089","0.038","0.172","  1,000","      0","  1,000",NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","Southern","All","All","All","All","All","All","All","All","All",FALSE,"0.141","0.085","0.215","  8,000","  3,000"," 14,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Northland","All","All","All","All","All","All","All","All","All",FALSE,"0.132","0.100","0.170","  4,000","  2,000","  7,000",NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Waitematā","All","All","All","All","All","All","All","All","All",FALSE,"0.113","0.076","0.159"," 12,000","  7,000"," 18,000",NA,NA,NA,"None"
