"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","disability","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.443","0.413"," 0.474","  191,000","  167,000","  215,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","Central | Te Ikaroa","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.502","0.472"," 0.531","  218,000","  193,000","  244,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Male","All","All","All","All","All","All","All",FALSE,"0.466","0.435"," 0.497","  249,000","  218,000","  280,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","South Island | Te Waipounamu","All","All","All","All","Female","All","All","All","All","All","All","All",FALSE,"0.537","0.509"," 0.566","  268,000","  240,000","  295,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.411","0.385"," 0.438","  260,000","  228,000","  291,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Auckland Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.497","0.471"," 0.523","  330,000","  296,000","  365,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.423","0.369"," 0.479","   61,000","   43,000","   80,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Bay of Plenty Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.501","0.457"," 0.546","   76,000","   55,000","   97,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Canterbury Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.466","0.419"," 0.513","  147,000","  112,000","  183,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Canterbury Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.540","0.501"," 0.578","  154,000","  119,000","  189,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Gisborne Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.448","0.367"," 0.531","    8,000","    4,000","   13,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Gisborne Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.533","0.421"," 0.643","   15,000","    7,000","   22,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.411","0.344"," 0.481","   26,000","   15,000","   37,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Hawke's Bay Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.479","0.404"," 0.554","   34,000","   21,000","   47,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.456","0.397"," 0.516","   50,000","   33,000","   67,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Manawatū-Wanganui Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.483","0.443"," 0.523","   55,000","   39,000","   71,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Marlborough Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.524","0.390"," 0.656","    6,000","    1,000","   12,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Marlborough Region","All","Female","All","All","All","All","All","All","All",FALSE,"0.507","0.363"," 0.651","    8,000","    2,000","   14,000",NA,NA,NA,"None"
"Nutrition","adults_two_plus_fruit","2021/22","2023/24","All","All","All","Nelson Region","All","Male","All","All","All","All","All","All","All",FALSE,"0.498","0.365"," 0.632","   14,000","    6,000","   23,000",NA,NA,NA,"None"
