"topic","indicator","year_from","year_to","health_region","impb","dhb","reg","gch","gender","agegroup","māori","pacific","asian","other_euro","nzdep_quin","age_standardised","proportion","proportion_low","proportion_high","total","total_low","total_high","mean","mean_low","mean_high","quality_flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Auckland","All","All","All","All","All","All","All","All","All",TRUE,"0.088","0.046","0.148",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Counties Manukau","All","All","All","All","All","All","All","All","All",TRUE,"0.117","0.083","0.159",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Waikato","All","All","All","All","All","All","All","All","All",TRUE,"0.111","0.079","0.149",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Lakes","All","All","All","All","All","All","All","All","All",TRUE,"0.159","0.098","0.238",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Bay of Plenty","All","All","All","All","All","All","All","All","All",TRUE,"0.112","0.081","0.150",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Tairāwhiti","All","All","All","All","All","All","All","All","All",TRUE,"0.128","0.061","0.228",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Taranaki","All","All","All","All","All","All","All","All","All",TRUE,"0.127","0.077","0.195",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Hawke's Bay","All","All","All","All","All","All","All","All","All",TRUE,"0.123","0.063","0.208",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Whanganui","All","All","All","All","All","All","All","All","All",TRUE,"0.118","0.064","0.194",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","MidCentral","All","All","All","All","All","All","All","All","All",TRUE,"0.104","0.063","0.159",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Hutt Valley","All","All","All","All","All","All","All","All","All",TRUE,"0.102","0.061","0.158",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Capital and Coast","All","All","All","All","All","All","All","All","All",TRUE,"0.148","0.100","0.209",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Wairarapa","All","All","All","All","All","All","All","All","All",TRUE,"0.108","0.046","0.205",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Nelson Marlborough","All","All","All","All","All","All","All","All","All",TRUE,"0.153","0.086","0.242",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","West Coast","All","All","All","All","All","All","All","All","All",TRUE,"0.107","0.019","0.304",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Canterbury","All","All","All","All","All","All","All","All","All",TRUE,"0.153","0.102","0.216",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","South Canterbury","All","All","All","All","All","All","All","All","All",TRUE,"0.095","0.033","0.202",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2021/22","2023/24","All","All","Southern","All","All","All","All","All","All","All","All","All",TRUE,"0.163","0.098","0.249",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Auckland Region","All","All","All","All","All","All","All","All",TRUE,"0.102","0.079","0.129",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Bay of Plenty Region","All","All","All","All","All","All","All","All",TRUE,"0.134","0.089","0.190",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Canterbury Region","All","All","All","All","All","All","All","All",TRUE,"0.141","0.100","0.190",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Gisborne Region","All","All","All","All","All","All","All","All",TRUE,"0.116","0.057","0.204",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Hawke's Bay Region","All","All","All","All","All","All","All","All",TRUE,"0.125","0.079","0.186",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Manawatū-Wanganui Region","All","All","All","All","All","All","All","All",TRUE,"0.113","0.079","0.155",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Marlborough Region","All","All","All","All","All","All","All","All",TRUE,"0.127","0.028","0.322",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Nelson Region","All","All","All","All","All","All","All","All",TRUE,"0.165","0.070","0.309",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Northland Region","All","All","All","All","All","All","All","All",TRUE,"0.116","0.079","0.163",NA,NA,NA,NA,NA,NA,"None"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Otago Region","All","All","All","All","All","All","All","All",TRUE,"0.187","0.083","0.340",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Southland Region","All","All","All","All","All","All","All","All",TRUE,"0.069","0.029","0.135",NA,NA,NA,NA,NA,NA,"Low Quality Flag"
"Strengths and difficulties questionnaire","sdq_emotion_total","2020/21","2022/23","All","All","All","Taranaki Region","All","All","All","All","All","All","All","All",TRUE,"0.117","0.060","0.199",NA,NA,NA,NA,NA,NA,"None"
